2025-01-10 13:52:23.7720 Info Application Start
2025-01-10 13:52:25.3208 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 13:53:47.0253 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:06:02.0512 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:14:47.2395 Info Application Start
2025-01-10 14:14:47.5613 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:32:28.2050 Info Application Start
2025-01-10 14:32:29.4689 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 14:41:56.2442 Info Application Start
2025-01-10 14:41:57.5877 Error System.Web.HttpException: 找不到路徑 '/LoginIndex' 的控制器或是未實作 IController。
2025-01-10 15:35:49.5100 Info Application Start
2025-01-10 15:43:26.5506 Info Application Start
2025-01-10 15:44:40.2034 Info Application Start
2025-01-10 15:48:01.1287 Info Application Start
2025-01-10 16:51:03.8788 Trace Executed Controller: MainUser, Action: GetRoleIdAndName
2025-01-10 16:51:20.1921 Trace Executing Controller: MainUser, Action: DeleteUser
2025-01-10 16:51:20.1921 Trace DeleteUser
2025-01-10 16:51:20.2430 Trace Executed Controller: MainUser, Action: DeleteUser
2025-01-10 16:51:20.2430 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:51:20.2430 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:51:20.3068 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:51:20.3068 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:51:21.4546 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:51:21.4546 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:51:26.0324 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:51:26.0324 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:51:26.3743 Trace Executing Controller: MainUser, Action: GetSortedUser
2025-01-10 16:51:26.4047 Trace Executed Controller: MainUser, Action: GetSortedUser
2025-01-10 16:51:32.5409 Trace Executing Controller: UserRole, Action: Index
2025-01-10 16:51:32.5409 Trace Executed Controller: UserRole, Action: Index
2025-01-10 16:51:33.6598 Trace Executing Controller: UserRole, Action: Index
2025-01-10 16:51:33.6598 Trace Executed Controller: UserRole, Action: Index
2025-01-10 16:51:33.7474 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:51:33.7584 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:51:38.2788 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:51:38.2788 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:51:40.0545 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:51:40.0545 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:51:50.4062 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:51:50.4062 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:51:51.2377 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:51:51.2377 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:10.7877 Trace Executing Controller: UserRole, Action: AddRole
2025-01-10 16:53:10.8146 Trace Executed Controller: UserRole, Action: AddRole
2025-01-10 16:53:10.8275 Trace Executing Controller: UserRole, Action: Index
2025-01-10 16:53:10.8275 Trace Executed Controller: UserRole, Action: Index
2025-01-10 16:53:10.8744 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:10.8744 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:12.9230 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:12.9230 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:20.0419 Trace Executing Controller: UserRole, Action: GetRolePermissions
2025-01-10 16:53:20.0419 Trace Executed Controller: UserRole, Action: GetRolePermissions
2025-01-10 16:53:36.3897 Trace Executing Controller: UserRole, Action: EditRole
2025-01-10 16:53:36.4583 Trace Executed Controller: UserRole, Action: EditRole
2025-01-10 16:53:36.4903 Trace Executing Controller: UserRole, Action: Index
2025-01-10 16:53:36.4922 Trace Executed Controller: UserRole, Action: Index
2025-01-10 16:53:36.5421 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:36.5421 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:37.6420 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:37.6420 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:38.4457 Trace Executing Controller: UserRole, Action: GetRolePermissions
2025-01-10 16:53:38.4457 Trace Executed Controller: UserRole, Action: GetRolePermissions
2025-01-10 16:53:54.6518 Trace Executing Controller: UserRole, Action: DeleteRole
2025-01-10 16:53:54.6654 Trace Executed Controller: UserRole, Action: DeleteRole
2025-01-10 16:53:54.6654 Trace Executing Controller: UserRole, Action: Index
2025-01-10 16:53:54.6798 Trace Executed Controller: UserRole, Action: Index
2025-01-10 16:53:54.7237 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:54.7237 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:55.6103 Trace Executing Controller: UserRole, Action: GetAllRole
2025-01-10 16:53:55.6103 Trace Executed Controller: UserRole, Action: GetAllRole
2025-01-10 16:54:09.0751 Trace Executing Controller: MainUser, Action: Index
2025-01-10 16:54:09.0751 Trace Executed Controller: MainUser, Action: Index
2025-01-10 16:54:09.0920 Trace Executing Controller: MainUser, Action: Index
